Class,Precision,Recall,F1-Score,Support
Cell-Fault,0.9382716049382716,0.9529780564263323,0.9455676516329704,319
Diode-Fault,0.9578313253012049,0.9408284023668639,0.9492537313432836,169
Hot-Spot,0.9130434782608695,0.8076923076923077,0.8571428571428571,52
No-Anomaly,0.936372269705603,0.986,0.9605455431076474,1000
Offline-Module,0.9655172413793104,0.6666666666666666,0.7887323943661971,84
Shadowing,0.8452380952380952,0.6635514018691588,0.743455497382199,107
